Hourly measurement data supplied by UK-air on 12/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,,Ladybower,,,,,,,,,,Sheffield Barnsley Road,,,,,,,,,,Sheffield Devonshire Green,,,,,,,,,
Latitude,,53.40337,,,,,,,,,,53.40495,,,,,,,,,,53.378622,,,,,,,,,
Longitude,,-1.752006,,,,,,,,,,-1.455815,,,,,,,,,,-1.478096,,,,,,,,,
Site Type,,Rural Background,,,,,,,,,,Urban Traffic,,,,,,,,,,Urban Background,,,,,,,,,
Zone,,East Midlands,,,,,,,,,,Yorkshire & Humberside,,,,,,,,,,Yorkshire & Humberside,,,,,,,,,
Agglomeration,,#N/A,,,,,,,,,,Sheffield Urban Area,,,,,,,,,,Sheffield Urban Area,,,,,,,,,
Local Authority,,High Peak,,,,,,,,,,Sheffield,,,,,,,,,,Sheffield,,,,,,,,,
Date,Time,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
2023/1/1,1:00:00,2.46782,V ugm-3,No data,,232.8,N deg,9,N ms-1,6,N degC,25.18305,V ugm-3,16,V ugm-3 (BAM),228.6,N deg,6.5,N ms-1,8.2,N degC,18.88178,V ugm-3,4.741,V ugm-3 (Ref.eq),228.6,N deg,6.5,N ms-1,8.2,N degC
2023/1/1,2:00:00,0.84773,V ugm-3,No data,,229,N deg,11.1,N ms-1,5.5,N degC,9.28437,V ugm-3,5,V ugm-3 (BAM),225.1,N deg,7.8,N ms-1,7.5,N degC,10.68551,V ugm-3,2.123,V ugm-3 (Ref.eq),225.1,N deg,7.8,N ms-1,7.5,N degC
2023/1/1,3:00:00,0.53024,V ugm-3,No data,,238.5,N deg,10.4,N ms-1,5,N degC,7.82167,V ugm-3,2,V ugm-3 (BAM),233.8,N deg,8,N ms-1,7.2,N degC,9.56496,V ugm-3,1.792,V ugm-3 (Ref.eq),233.8,N deg,8,N ms-1,7.2,N degC
2023/1/1,4:00:00,0.58241,V ugm-3,No data,,235.8,N deg,10.4,N ms-1,4.7,N degC,6.46468,V ugm-3,2,V ugm-3 (BAM),231.8,N deg,7.8,N ms-1,6.8,N degC,6.72161,V ugm-3,2.17,V ugm-3 (Ref.eq),231.8,N deg,7.8,N ms-1,6.8,N degC
2023/1/1,5:00:00,0.68824,V ugm-3,No data,,239.2,N deg,10.7,N ms-1,5.1,N degC,5.31499,V ugm-3,0,V ugm-3 (BAM),233.8,N deg,7.8,N ms-1,6.6,N degC,5.63376,V ugm-3,1.934,V ugm-3 (Ref.eq),233.8,N deg,7.8,N ms-1,6.6,N degC
2023/1/1,6:00:00,0.53052,V ugm-3,No data,,236.3,N deg,10.5,N ms-1,5.1,N degC,6.10935,V ugm-3,1,V ugm-3 (BAM),233,N deg,7.5,N ms-1,6.6,N degC,4.18541,V ugm-3,2.241,V ugm-3 (Ref.eq),233,N deg,7.5,N ms-1,6.6,N degC
2023/1/1,7:00:00,0.63512,V ugm-3,No data,,231.6,N deg,9.8,N ms-1,4.6,N degC,7.56729,V ugm-3,1,V ugm-3 (BAM),228.9,N deg,7.1,N ms-1,6.6,N degC,3.56411,V ugm-3,3.042,V ugm-3 (Ref.eq),228.9,N deg,7.1,N ms-1,6.6,N degC
2023/1/1,8:00:00,0.74122,V ugm-3,No data,,227.7,N deg,9.8,N ms-1,4.6,N degC,6.31757,V ugm-3,2,V ugm-3 (BAM),227.1,N deg,7.4,N ms-1,6.6,N degC,3.77012,V ugm-3,3.443,V ugm-3 (Ref.eq),227.1,N deg,7.4,N ms-1,6.6,N degC
2023/1/1,9:00:00,0.58268,V ugm-3,No data,,229.8,N deg,9.9,N ms-1,4.6,N degC,10.57457,V ugm-3,2,V ugm-3 (BAM),227.4,N deg,7.6,N ms-1,6.8,N degC,3.92475,V ugm-3,3.113,V ugm-3 (Ref.eq),227.4,N deg,7.6,N ms-1,6.8,N degC
2023/1/1,10:00:00,0.84705,V ugm-3,No data,,227.9,N deg,9.3,N ms-1,5,N degC,15.77659,V ugm-3,4,V ugm-3 (BAM),225.9,N deg,7.6,N ms-1,7.2,N degC,4.44187,V ugm-3,3.491,V ugm-3 (Ref.eq),225.9,N deg,7.6,N ms-1,7.2,N degC
