"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",116.480192437859,9.80220822434163,11.8830563248602,1.78494588357983e-32
"WindSpeed",-3.20636955003482,0.0588659704509075,-54.4689831064423,0
"WindDirN",-8.15547729256804,0.547040777465837,-14.908353505836,4.85138161553998e-50
"WindDirNE",-5.77496983159712,0.566197087087044,-10.1995753127379,2.23097803409933e-24
"WindDirNW",-8.0896824872054,0.523550855591947,-15.451569605514,1.32797860893844e-53
"WindDirS",1.56789452454474,0.565151980175285,2.77428829685503,0.00553650162224959
"WindDirSE",0.21947610695942,0.639306632157627,0.343303347595033,0.731373244232695
"WindDirSW",-4.42307843156386,0.496008776823161,-8.91733904366132,5.10619505062467e-19
"WindDirW",-6.47558112726223,0.493390879297385,-13.1246470070217,3.23875894242967e-39
"Temp",-0.873305667828754,0.0227149218795375,-38.4463425610749,6.00409822984963e-314
"Humid",-0.106964693420741,0.00930097807349107,-11.5003704530391,1.57684603255615e-30
"Press",-0.0502822699489257,0.0094760699124246,-5.30623670082867,1.12895703863868e-07
"R_Squared",0.200702008460357,NA,NA,NA
