"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-43.7324252828713,4.096601917699,-10.6752928796741,1.52198879506792e-26
"WindSpeed",-0.815386350091873,0.0246016450494855,-33.1435702145831,1.28734736298291e-235
"WindDirN",-3.52702517683167,0.228622800774732,-15.4272678179065,1.92851461215186e-53
"WindDirNE",-1.21876199197286,0.236628728922167,-5.15052418835305,2.61794232208211e-07
"WindDirNW",-4.85457918459117,0.218805741516981,-22.1867084059785,5.5079357851943e-108
"WindDirS",-0.32223912091441,0.236191951118541,-1.36431033906267,0.172482597596327
"WindDirSE",0.894732717602332,0.267183140304136,3.34876188888211,0.000812973449222337
"WindDirSW",-3.09952195193391,0.207295178782613,-14.9522143743842,2.52817826053309e-50
"WindDirW",-4.32064999199677,0.206201090207979,-20.9535749187304,1.2559091881123e-96
"Temp",-0.0946369173505499,0.00949316627461728,-9.96895183470968,2.31205666297507e-23
"Humid",0.0546110423116389,0.0038871245886943,14.0492132591981,1.16701436065391e-44
"Press",0.0551379272975373,0.00396030009636892,13.9226639284461,6.81452757097148e-44
"R_Squared",0.167156964292098,NA,NA,NA
